Title,Image URL,Synopsis,Genres,Released Year,Status,Other Names,Total Episodes
.Hack//G.U. Returner,https://gogocdn.net/images/anime/5745.jpg,Plot Summary: ,"adventure, drama, game, harem, martial-arts, seinen",2007,Completed,".HACK
                          
                          G.U. RETURNER",1
.hack//G.U. Trilogy,https://gogocdn.net/images/Trilogy.jpg,Plot Summary: ,"action, game, harem, seinen",2008,Completed,".hack
                          
                          G.U. Trilogy",1
.hack//Gift,https://gogocdn.net/cover/hackgift.png,Plot Summary: ,"comedy, fantasy, game",2003,Completed,".hack
                          
                          Gift",1
.hack//Legend of the Twilight,https://gogocdn.net/images/anime/hacklegend-of-the-twilight2.jpg,Plot Summary: ,"adventure, comedy, fantasy, sci-fi, shounen",2003,Completed,".hack
                          
                          Tasogare no Udewa Densetsu, .hack
                          
                          Udeden, .hack
                          
                          Legend of the Twilight Bracelet, .hack
                          
                          DUSK, .hack   
                          
                          黄昏の腕輪伝説",12
.hack//Liminality,https://gogocdn.net/images/anime/A/hackliminality.jpg,Plot Summary: ,"mystery, sci-fi",2002,Completed,Hack OVA,4
.hack//Liminality (Dub),https://gogocdn.net/cover/hackliminality-dub.png,Plot Summary: ,"game, mystery, sci-fi",2002,Completed,,4
.hack//Quantum,https://gogocdn.net/images/anime/A/hackquantum.jpg,Plot Summary: ,"action, adventure, fantasy, sci-fi",2011,Completed,".hack
                          
                          Quantum",3
.hack//Roots,https://gogocdn.net/images/anime/A/hackroots.jpg,Plot Summary: ,"adventure, drama, fantasy, game, sci-fi",2006,Completed,".hack
                          
                          Roots",26
.hack//Roots (Dub),https://gogocdn.net/cover/hackroots-dub.jpg,Plot Summary: ,"adventure, drama, fantasy, game, sci-fi",2006,Completed,".hack
                          
                          Roots",26
.Hack//Sign,https://gogocdn.net/images/anime/A/hacksign.jpg,Plot Summary: ,"adventure, fantasy, magic, mystery, sci-fi",2002,Completed,".hack
                          
                          SIGN",28
.hack//Sign (Dub),https://gogocdn.net/cover/hacksign-dub.jpg,Plot Summary: ,"adventure, fantasy, magic, mystery, sci-fi",2006,Completed,".hack
                          
                          SIGN",28
.hack//Tasogare no Udewa Densetsu (Dub),https://gogocdn.net/cover/hacktasogare-no-udewa-densetsu-dub.png,Plot Summary: ,"adventure, comedy, fantasy, game, sci-fi, shounen",2003,Completed,".hack
                          
                          Legend Of The Twilight, .hack
                          
                          黄昏の腕輪伝説",12
.hack//The Movie: Sekai no Mukou ni,https://gogocdn.net/images/hack The Movie Sekai no Mukou ni.jpg,Plot Summary: ,"action, adventure, fantasy, game, mystery, sci-fi",2012,Completed,".hack
                          
                          Beyond the World, .hack
                          
                          The Movie セカイの向こうに",1
.hack//Versus: The Thanatos Report,https://gogocdn.net/cover/hackversus-the-thanatos-report.png,Plot Summary: ,"action, sci-fi, video-game",2012,Completed,".hack
                          
                          Versus OVA, .hack
                          
                          Versus Special, .hack
                          
                          Versus タナトスレポート",1
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",https://gogocdn.net/cover/bungaku-shoujo-kyou-no-oyatsu-hatsukoi.png,Plot Summary: ,"comedy, fantasy, school",2009,Completed,"Bungaku Shoujo OVA, Book Girl OVA, Literature Girl OVA, Bungaku Shoujo: Kyou no Oyatsu - Hatsukoi, “文学少女”今日のおやつ 〜はつ恋〜",1
"""Eiji""",https://gogocdn.net/cover/eiji.png,Plot Summary: ,"combat-sports, comedy, drama, sports",1990,Completed,,1
"""Eiyuu"" Kaitai",https://gogocdn.net/cover/eiyuu-kaitai.png,Plot Summary: ,"comedy, drama",2017,Completed,"""Heroes"" Dismissed, 「英雄」解体",1
"""Oshi no Ko""",https://gogocdn.net/cover/oshi-no-ko-1680121500.png,Plot Summary: ,"drama, supernatural",2023,Completed,"【推しの子】
                          【我推的孩子】
                          【최애의 아이】
                           [Oshi No Ko] 
                           My Star",11
"""Oshi no Ko"" (Dub)",https://gogocdn.net/cover/oshi-no-ko-dub.png,Plot Summary: ,"drama, dub, reincarnation, seinen, showbiz, supernatural",2023,Completed,"【推しの子】
                          【我推的孩子】
                          【최애의 아이】
                           [Oshi No Ko] 
                           My Star",11
"""Oshi no Ko"" 2nd Season",https://gogocdn.net/cover/oshi-no-ko-2nd-season.png,Plot Summary: ,"drama, reincarnation, seinen, showbiz, supernatural",2024,Completed,"[Oshi No Ko] Season 2, 【推しの子】第2期",13
"""Oshi no Ko"" 2nd Season (Dub)",https://gogocdn.net/cover/oshi-no-ko-2nd-season-dub.png,Plot Summary: ,"drama, reincarnation, seinen, showbiz, supernatural",2024,Ongoing,"[Oshi No Ko] Season 2, 【推しの子】第2期",10
0-saiji Start Dash Monogatari,https://gogocdn.net/cover/0-saiji-start-dash-monogatari.png,Plot Summary: ,"adventure, fantasy, isekai, reincarnation",2024,Ongoing,"0歳児スタートダッシュ物語, Head Start a Birth",4
00:08,https://gogocdn.net/cover/0008.png,Plot Summary: ,avant-garde,2014,Completed,,1
009 Re:Cyborg,https://gogocdn.net/images/anime/126644.jpg,Plot Summary: ,"action, adventure, mecha, sci-fi",2012,Completed,009 RE:CYBORG,1
009 Re:Cyborg (Dub),https://gogocdn.net/cover/009-recyborg-dub.jpg,Plot Summary: ,"action, adventure, mecha, sci-fi",2012,Completed,009 RE:CYBORG,1
009-1,https://gogocdn.net/images/anime/A/009-1.jpg,Plot Summary: ,"action, mecha, sci-fi",2006,Completed,"Zero Zero Nine One, ゼロゼロナインワン",12
009-1 (Dub),https://gogocdn.net/cover/009-1-dub.jpg,Plot Summary: ,"action, mecha, sci-fi",2006,Completed,"Zero Zero Nine One, ゼロゼロナインワン",12
07-GHOST,https://gogocdn.net/images/anime/A/07-ghost.jpg,Plot Summary: ,"action, demons, fantasy, military, shoujo",2009,Completed,"07 Ghost, Seven Ghost, 7 Ghosts, The Seven Ghosts, セブンゴースト",25
1 Pound no Fukuin,https://gogocdn.net/cover/1-pound-no-fukuin.png,Plot Summary: ,"comedy, romance, seinen, sports",1988,Completed,"One Pound Gospel, １ポンドの福音",1
1-gatsu ni wa Christmas,https://gogocdn.net/cover/1-gatsu-ni-wa-christmas.png,Plot Summary: ,"drama, romance",1991,Completed,"Christmas in January, 1月にはChristmas",1
1+2=Paradise,https://gogocdn.net/cover/12paradise.png,Plot Summary: ,"comedy, ecchi, love-polygon, romance, seinen",1990,Completed,１＋２＝パラダイス,2
100-man no Inochi no Ue ni Ore wa Tatteiru,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru.png,Plot Summary: ,"action, drama, fantasy, game, shounen",2020,Completed,"I'm standing on 1,000,000 lives., 100万の命の上に俺は立っている",12
100-man no Inochi no Ue ni Ore wa Tatteiru (Dub),https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-dub.png,Plot Summary: ,"action, drama, fantasy, game, shounen",2020,Completed,"I'm standing on 1,000,000 lives., 100万の命の上に俺は立っている",12
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season.png,Plot Summary: ,"action, drama, fantasy, game, shounen",2021,Completed,"I'm standing on 1,000,000 lives; I'm Standing on a Million Lives 2nd Season; 100万の命の上に俺は立っている",12
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season (Dub),https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season-dub.png,Plot Summary: ,"action, drama, fantasy, game, shounen",2021,Completed,"I’m Standing on a Million Lives Season 2, 100万の命の上に俺は立っている",12
"100,000 Levels of Body Refining : All the dogs I raise are the Emperor",https://gogocdn.net/cover/100000-levels-of-body-refining-all-the-dogs-i-raise-are-the-emperor.png,Plot Summary: ,"action, comedy, harem, martial-arts, shounen",2021,Ongoing,"One Hundred Thousand Layers of Body Refining: All the Dogs I Raise Are the Emperor, 炼体十万层：我养的狗都是大帝",165
100% Pascal-sensei,https://gogocdn.net/cover/100-pascal-sensei.png,Plot Summary: ,comedy,2017,Completed,100%パスカル先生,36
100% Perfect Love,https://gogocdn.net/cover/100-perfect-love.png,Plot Summary: ,"comedy, romance",2020,Completed,,30
1000-nen Joou: Queen Millennia,https://gogocdn.net/cover/1000-nen-joou-queen-millennia.png,Plot Summary: ,"adventure, drama, fantasy, sci-fi",1982,Completed,1000年女王 Queen Millennia,1
1001 Nights,https://gogocdn.net/images/1001 Nights.jpg,Plot Summary: ,"demons, fantasy",1999,Completed,1001 Nights,1
1001 Nights (Dub),https://gogocdn.net/cover/1001-nights-dub.png,Plot Summary: ,"demons, fantasy, romance, seinen",1999,Completed,1001 Nights,1
11eyes,https://gogocdn.net/images/anime/A/11eyes.jpg,Plot Summary: ,"action, ecchi, super-power, supernatural",2009,Completed,"11eyes -Tsumi to Batsu to Aganai no Shoujo-, イレブンアイズ",13
12-sai.: Chicchana Mune no Tokimeki,https://gogocdn.net/cover/12-sai-chicchana-mune-no-tokimeki.jpg,Plot Summary: ,"romance, school, shoujo",2016,Completed,"Age 12., Juuni-sai., 12歳。～ちっちゃなムネのトキメキ～",12
12-sai.: Chicchana Mune no Tokimeki 2nd Season,https://gogocdn.net/cover/12-sai-chicchana-mune-no-tokimeki-2nd-season.png,Plot Summary: ,"romance, school, shoujo",2016,Completed,"Age 12., Juuni-sai., 12歳。～ちっちゃなムネのトキメキ～",12
"12-sai.: Kiss, Kirai, Suki",https://gogocdn.net/images/12-sai-Kiss-Kirai-Suki.jpg,Plot Summary: ,"romance, school, shoujo",2014,Completed,"Juuni-sai., 12歳。, 12-sai OVA",12
15th Anniversary Short Animation: Battle Spirits Shounen Toppa Bashin x Saikyou Ginga Ultimate Zero Battle Spirits,https://gogocdn.net/cover/15th-anniversary-short-animation-battle-spirits-shounen-toppa-bashin-x-saikyou-ginga-ultimate-zero-battle-spirits.png,Plot Summary: ,"action, fantasy, sci-fi",2023,Completed,,1
16bit Sensation: Another Layer,https://gogocdn.net/cover/16bit-sensation-1696006261.png,Plot Summary: ,"adult-cast, comedy, workplace",2023,Completed,16bitセンセーション ANOTHER LAYER,13
180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,https://gogocdn.net/cover/180-byou-de-kimi-no-mimi-wo-shiawase-ni-dekiru-ka.png,Plot Summary: ,slice-of-life,2021,Completed,"Can I Make Your Ears Happy in 180 Seconds?, 180秒で君の耳を幸せにできるか?",12
18if,https://gogocdn.net/cover/18if.png,Plot Summary: ,game,2017,Completed,18if,13
18if (Dub),https://gogocdn.net/cover/18if-dub.png,Plot Summary: ,game,2017,Completed,18if,13
2 x 2 Shinobuden,https://gogocdn.net/images/anime/A/2x2-shinobuden.jpg,Plot Summary: ,"comedy, martial-arts, parody",2004,Completed,"Ninin ga Shinobuden, Ninja Nonsense, 2x2=Shinobuden, 2x2 Shinobuden, 2 X 2 = The Legend of Shinobu, Ninin ga Shinobuden: The Nonsense Kunoichi Fiction, Nin x Nin = Shinobuden, ニニンがシノブ伝",12
2.43: Seiin Koukou Danshi Volley-bu,https://gogocdn.net/cover/2-43-seiin-koukou-danshi-volley-bu.png,Plot Summary: ,"school, sports",2021,Completed,2.43 清陰高校男子バレー部,12
2.43: Seiin Koukou Danshi Volley-bu (Dub),https://gogocdn.net/cover/2-43-seiin-koukou-danshi-volley-bu-dub.png,Plot Summary: ,"drama, school, sci-fi, sports",2021,Completed,"2.43: Seiin High School Boys Volleyball Team, 2.43: Seiin High School Boys Volleyball Team",12
2.5-jigen no Ririsa,https://gogocdn.net/cover/2-5-jigen-no-ririsa-1719512728.png,Plot Summary: ,"comedy, ecchi, harem, school, shounen",2024,Ongoing,"2.5 Dimensional Seduction; 2.5-jigen no Yuuwaku, Ririsa of 2.5 Dimension ; 2.5次元の誘惑〈りりさ〉",20
2005-nen Uchuu no Tabi (Dub),https://gogocdn.net/cover/2005-nen-uchuu-no-tabi-dub.png,Plot Summary: ,"avant-garde, sci-fi, space",2005,Completed,"2005 Space Odyssey, 2005年宇宙の旅",1
22/7,https://gogocdn.net/cover/227.png,Plot Summary: ,music,2020,Completed,"Nanabun no Nijyuuni, Nanabun no Nijuuni",12
22/7: 8＋3=?,https://gogocdn.net/cover/227-83.png,Plot Summary: ,music,2020,Completed,"22
                          7 Special, Nanabun no Nijyuuni Episode 13",1
3 Choume no Tama: Uchi no Tama Shirimasen ka?,https://gogocdn.net/cover/3-choume-no-tama-uchi-no-tama-shirimasen-ka.png,Plot Summary: ,adventure,1988,Completed,"Tama and Friends, 3丁目のタマ うちのタマ知りませんか?",10
3 Choume no Tama: Uchi no Tama Shirimasen ka? (Dub),https://gogocdn.net/cover/3-choume-no-tama-uchi-no-tama-shirimasen-ka-dub.png,Plot Summary: ,adventure,1988,Completed,"San Choume no Tama Uchi no Tama Shirimasenka?, Tama & Friends, Teo and Friends, Sanchome no Tama: Uchi no Tama Shirimasenka?, 3丁目のタマ うちのタマ知りませんか?",13
3 x 3 Eyes,https://gogocdn.net/images/anime/A/3x3-eyes.jpg,Plot Summary: ,"action, demons, fantasy, horror, romance",1991,Completed,"Sazan Eyes, 3x3 Eyes: Immortals",4
3-gatsu no Lion,https://gogocdn.net/cover/3-gatsu-no-lion.png,Plot Summary: ,"drama, game, seinen, slice-of-life",2016,Completed,"March Comes in Like a Lion, Sangatsu no Lion, ３月のライオン",22
3-gatsu no Lion (Dub),https://gogocdn.net/cover/3-gatsu-no-lion-dub.png,Plot Summary: ,"drama, game, seinen, slice-of-life",2016,Completed,"March comes in like a lion, Sangatsu no Lion, 3月のライオン",22
3-gatsu no Lion 2nd Season,https://gogocdn.net/cover/3-gatsu-no-lion-2nd-season.png,Plot Summary: ,"drama, game, shounen, slice-of-life",2017,Completed,3月のライオン 2ndシーズン,22
3-gatsu no Lion 2nd Season (Dub),https://gogocdn.net/cover/3-gatsu-no-lion-2nd-season-dub.png,Plot Summary: ,"drama, game, seinen, slice-of-life",2017,Completed,"March Comes In Like A Lion 2nd Season, Sangatsu no Lion Second Season,  3月のライオン 第2シリーズ",22
3-Nen D-Gumi Glass no Kamen,https://gogocdn.net/cover/3-nen-d-gumi-glass-no-kamen.png,Plot Summary: ,"comedy, parody, school",2016,Completed,"The Glass Mask Year 3 Class D, ３ねんＤぐみガラスの仮面",13
